         328516 function calls (321470 primitive calls) in 14.906 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   10.485   10.485   13.290   13.290 {method 'mainloop' of '_tkinter.tkapp' objects}
        1    1.388    1.388    1.388    1.388 {built-in method builtins.input}
      204    0.356    0.002    0.368    0.002 {built-in method matplotlib._image.resample}
      118    0.268    0.002    0.268    0.002 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\_methods.py:78(_clip_dep_invoke_with_casting)
      824    0.264    0.000    0.275    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\numeric.py:1110(roll)
      103    0.231    0.002    0.511    0.005 GoL.py:28(getNumAliveNeighbours)
      102    0.215    0.002    0.215    0.002 {built-in method matplotlib.backends._tkagg.blit}
  320/307    0.206    0.001    0.267    0.001 {method 'call' of '_tkinter.tkapp' objects}
     8270    0.168    0.000    0.181    0.000 {built-in method numpy.array}
      102    0.141    0.001    1.341    0.013 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\image.py:255(_make_image)
      102    0.141    0.001    0.141    0.001 {method 'take' of 'numpy.ndarray' objects}
        1    0.119    0.119    0.119    0.119 {built-in method _tkinter.create}
      103    0.095    0.001    0.631    0.006 GoL.py:43(updateGrid)
      205    0.067    0.000    0.067    0.000 {built-in method numpy.zeros}
      733    0.056    0.000    0.056    0.000 {built-in method nt.stat}
      102    0.055    0.001    0.584    0.006 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\colors.py:480(__call__)
7918/6641    0.047    0.000    0.637    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      632    0.043    0.000    0.043    0.000 {method 'astype' of 'numpy.ndarray' objects}
      103    0.037    0.000    0.829    0.008 GoL.py:54(getNextGrid)
     1915    0.034    0.000    0.034    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      102    0.027    0.000    0.028    0.000 {method 'draw_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      102    0.019    0.000    1.363    0.013 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\image.py:872(make_image)
      104    0.019    0.000    0.022    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\ma\core.py:2342(masked_invalid)
       99    0.016    0.000    0.016    0.000 {method 'restore_region' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1937    0.013    0.000    0.013    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.011    0.011    0.011    0.011 {built-in method builtins.print}
      120    0.010    0.000    0.010    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
       64    0.010    0.000    0.010    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      102    0.009    0.000    0.048    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\colors.py:944(__call__)
  336/102    0.008    0.000    1.521    0.015 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\artist.py:30(draw_wrapper)
      104    0.007    0.000    0.129    0.001 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\image.py:663(set_data)
      103    0.007    0.000    0.837    0.008 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\animation.py:1744(_draw_frame)
     1126    0.007    0.000    0.031    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\ma\core.py:2938(__array_finalize__)
     1126    0.006    0.000    0.010    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\ma\core.py:2912(_update_from)
      728    0.006    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      714    0.005    0.000    0.102    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\ma\core.py:2782(__new__)
 1554/414    0.005    0.000    0.015    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:2395(get_affine)
        1    0.005    0.005    0.005    0.005 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
    19556    0.004    0.000    0.006    0.000 {built-in method builtins.isinstance}
     1400    0.004    0.000    0.004    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:164(set_children)
      243    0.004    0.000    0.004    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:413(bounds)
      102    0.004    0.000    0.221    0.002 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\backends\_backend_tk.py:58(blit)
     1824    0.003    0.000    0.003    0.000 {method 'getint' of '_tkinter.tkapp' objects}
    15047    0.003    0.000    0.004    0.000 {built-in method builtins.getattr}
     6057    0.003    0.000    0.004    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\__init__.py:811(__getitem__)
5575/4734    0.003    0.000    0.005    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\artist.py:219(stale)
      140    0.003    0.000    0.010    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:1388(_substitute)
     3667    0.003    0.000    0.005    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:1683(__init__)
     5078    0.003    0.000    0.003    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:82(__init__)
     2906    0.003    0.000    0.007    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:1819(__init__)
      102    0.003    0.000    1.399    0.014 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\image.py:595(draw)
      114    0.003    0.000    0.021    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\lines.py:273(__init__)
     3092    0.003    0.000    0.010    0.000 <__array_function__ internals>:2(dot)
      102    0.003    0.000    0.022    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:708(intersection)
     1322    0.002    0.000    0.008    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\fromnumeric.py:73(_wrapreduction)
 1128/922    0.002    0.000    0.005    0.000 {method 'view' of 'numpy.generic' objects}
        1    0.002    0.002    0.011    0.011 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\font_manager.py:1240(_findfont_cached)
1261/1260    0.002    0.000    0.011    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:1025(get_points)
      259    0.002    0.000    0.007    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\colors.py:185(_to_rgba_no_colorcycle)
     3640    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      419    0.002    0.000    0.002    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\font_manager.py:1119(score_stretch)
      122    0.002    0.000    0.003    0.000 {built-in method matplotlib._path.point_in_path}
      306    0.002    0.000    0.033    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\colors.py:913(process_value)
2350/2146    0.002    0.000    0.017    0.000 {method 'view' of 'numpy.ndarray' objects}
      478    0.002    0.000    0.006    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:726(__init__)
     3640    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
3527/1313    0.002    0.000    0.002    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:2357(<lambda>)
      104    0.002    0.000    0.073    0.001 <frozen importlib._bootstrap_external>:1240(_get_spec)
1492/1303    0.002    0.000    0.002    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:137(_invalidate_internal)
      824    0.002    0.000    0.003    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\numeric.py:1277(normalize_axis_tuple)
      141    0.002    0.000    0.020    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\patches.py:728(_update_patch_transform)
      408    0.002    0.000    0.003    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\ma\core.py:3177(__getitem__)
     3378    0.002    0.000    0.002    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\ma\core.py:3363(dtype)
      157    0.002    0.000    0.003    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:1914(rotate)
      104    0.002    0.000    0.076    0.001 <frozen importlib._bootstrap>:882(_find_spec)
      603    0.002    0.000    0.012    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\colors.py:149(to_rgba)
      330    0.002    0.000    0.002    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\contextlib.py:81(__init__)
     1027    0.002    0.000    0.008    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:2470(composite_transform_factory)
      246    0.002    0.000    0.002    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\artist.py:74(__init__)
